company;twitter
Hochschule Hannover;https://twitter.com/HsHannover
Dominikus-Ringeisen-Werk;https://www.instagram.com/dominikusringeisenwerk/?hl=en
Internationale Berufsakademie der F+U Unternehmensgruppe gGmbH;https://twitter.com/ibaDual/
Internationale Berufsakademie der F+U Unternehmensgruppe gGmbH;https://twitter.com/ibaDual/
International School of Management (ISM) GmbH;https://twitter.com/ISM_Hochschule
Technische Universität Kaiserslautern;https://twitter.com/uni_kl
Humboldt-Universität zu Berlin;https://twitter.com/HumboldtUni?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Fachhochschule Potsdam - University of Applied Sciences;https://twitter.com/FHPotsdam
Alpen-Adria-Universität Klagenfurt;https://twitter.com/alpenadriauni
Sodexo Services GmbH;https://twitter.com/sodexogroup?lang=en
Katholische Universität Eichstätt-Ingolstadt;https://twitter.com/katholische_uni?lang=en
All for One Group AG;https://twitter.com/AllforOneGroup
Hochschule Darmstadt - University of Applied Sciences;https://twitter.com/h_da?lang=en
Martin-Luther-Universität Halle-Wittenberg;https://twitter.com/UniHalle
Fachhochschule Südwestfalen;https://twitter.com/fhsuedwestfalen?lang=en
Ernst-Moritz-Arndt-Universität Greifswald;https://twitter.com/wissen_lockt
Internationale Hochschule für Wirtschaft, Technik und Kultur gGmbH;https://twitter.com/hwtkuniversity
AWO Kreisverband München-Land e.V.;https://twitter.com/awomuc?lang=en
Hochschule Bochum;https://twitter.com/hochschuleBO
DeutschAkademie Sprachschule GmbH;https://twitter.com/deutschakademie
Fachhochschule Südwestfalen;https://twitter.com/fhsuedwestfalen?lang=en
Universität Koblenz-Landau;https://twitter.com/unikold
IUBH Internationale Hochschule GmbH;https://twitter.com/campusiubh?lang=en
Zeppelin Universität gemeinnützige GmbH;https://twitter.com/zeppelin?lang=en
Westfälische Hochschule - Gelsenkirchen Bocholt Recklinghausen - University of Applied Sciences;https://twitter.com/WHPresse
Teach First Deutschland gemeinnützige GmbH;https://twitter.com/TeachFirstDE
Universität Stuttgart;https://twitter.com/Uni_Stuttgart
Hochschule Geisenheim;https://twitter.com/hsgeisenheim
Universität Duisburg-Essen (UDE) - Campus Essen;https://twitter.com/unidue
Universität Osnabrück;https://twitter.com/uniosnabrueck/
Hochschule für angewandte Wissenschaften Ansbach;https://twitter.com/hs_ansbach_dtm?lang=en
DHBW Duale Hochschule Baden-Württemberg Heilbronn;https://twitter.com/researchdhbwhn?lang=en
Technische Hochschule Nürnberg Georg Simon Ohm;https://twitter.com/TH_Nuernberg
UZH Universität Zürich;https://twitter.com/uzh_ch
Hochschule Koblenz;https://twitter.com/HSKoblenz
Technische Hochschule Ingolstadt;https://twitter.com/th_ingolstadt
THD - Technische Hochschule Deggendorf;https://twitter.com/th_deggendorf
Universität Konstanz;https://twitter.com/unikonstanz
Technische Hochschule Wildau / Technical University of Applied Sciences Wildau;https://twitter.com/TH_Wildau
Universität Ulm;https://twitter.com/uni_ulm
ZHAW Zürcher Hochschule für angewandte Wissenschaften;https://twitter.com/zhaw?lang=en
BEST-Sabel-Fachhochschule Berlin;https://twitter.com/best_sabel?lang=en
Friedrich-Schiller-Universität Jena;https://twitter.com/UniJena
TÜV NORD Bildung GmbH & Co. KG;https://twitter.com/tuevnord
Deutsches Institut für Erwachsenenbildung Leibniz-Zentrum für Lebenslanges Lernen e.V. / German Institute for Adult Education Leibniz Centre for Lifelong Learning;https://twitter.com/DIE_Bonn
HSR Hochschule für Technik Rapperswil;https://twitter.com/ost_fh
Technische Hochschule Lübeck;https://twitter.com/th_luebeck
Wirtschaftsuniversität Wien;https://twitter.com/wu_vienna
Klinik Bavaria Bad Kissingen;https://twitter.com/Klinik_Bavaria_
TÜV SÜD Rail GmbH;https://twitter.com/tuvsud?lang=en
Regionalverband Ruhr - Metropole Ruhr;https://twitter.com/rvr_ruhr
IUBH Internationale Hochschule GmbH;https://twitter.com/IUBH_DS
dispo-Tf education GmbH;https://twitter.com/dispoTf
Internationaler Bund Berlin-Brandenburg gGmbH;https://twitter.com/IntBund
Technische Universität Dresden;https://twitter.com/tudresden_de
Universität Siegen;https://twitter.com/UniSiegen
Ernst-Abbe-Hochschule Jena;https://twitter.com/EAHJena
Internationale Berufsakademie;https://twitter.com/ibaDual/
Technische Universität Dresden;https://twitter.com/tudresden_de
Hochschule München;https://twitter.com/haw_muenchen
Technische Hochschule Köln;https://twitter.com/th_koeln
Hochschule für Wirtschaft und Recht (HWR) Berlin;https://twitter.com/bpshwrberlin
IUBH Internationale Hochschule GmbH;https://twitter.com/IUBH_DS
Hochschule für angewandtes Management;https://twitter.com/ham_hochschule
German University in Cairo (GUC);https://twitter.com/gucstudent?lang=en
karriere tutor GmbH;https://twitter.com/karrieretutor
iba Internationale Berufsakademie der F+U Unternehmensgruppe gGmbH;https://twitter.com/ibaDual/
Duale Hochschule Gera-Eisenach;https://twitter.com/dhgeraeisenach
Evangelische Hochschule Dresden;https://twitter.com/ehsdresden?lang=en
Hochschule für angewandtes Management GmbH;https://twitter.com/ham_hochschule
Hochschule Osnabrück;https://twitter.com/HS_Osnabrueck
Studienkreis Die Nachhilfe - Studienkreis Partnersysteme GmbH;https://twitter.com/Studienkreis_BO
Hochschule München - Hochschule für angewandte Wissenschaften München;https://twitter.com/hmmuenchen
Technische Universität Graz;https://twitter.com/tugraz?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Macromedia GmbH - Hochschule und Akademie;https://twitter.com/hs_macromedia?lang=en
Technische Universität Braunschweig;https://twitter.com/tubraunschweig/
Technische Universität Chemnitz;https://twitter.com/TUChemnitz
Westfälische Hochschule Campus Bocholt Fachbereich Wirtschaft & Informationstechnik;https://twitter.com/WHPresse
Freie Universität Berlin;https://twitter.com/fu_berlin
Fachhochschule Südwestfalen;https://twitter.com/fhsuedwestfalen?lang=en
DHBW Duale Hochschule Baden-Württemberg Mosbach;https://twitter.com/dhbw_stgt?lang=en
Universität Freiburg - Technische Fakultät;https://twitter.com/tfunifreiburg?lang=en
Technische Universität München;https://twitter.com/TU_Muenchen
Hochschule Magdeburg-Stendal (FH);https://twitter.com/hs_magdeburg
Hochschule Ostwestfalen-Lippe;https://twitter.com/THochschuleOWL
Universität für Musik und darstellende Kunst Graz (KUG);https://twitter.com/KunstuniGrazKUG
Universitätsklinikum Tübingen;https://twitter.com/uktuebingen
Wbs Training Ag - WBS Gruppe;https://twitter.com/wbsgruppe
Justus-Liebig-Universität Gießen Institut für Lebensmittelchemie und Lebensmittelbiotechnologie;https://twitter.com/jlugiessen?lang=en
DeepL GmbH;https://twitter.com/DeepLcom
IUBH Internationale Hochschule GmbH;https://twitter.com/IUBH_DS
TÜV Rheinland AG;https://twitter.com/tuvcom_presse?lang=en
Donau-Universität Krems;https://twitter.com/donau_uni?lang=de
Studienkreis GmbH;https://twitter.com/Studienkreis_BO
Universität Stuttgart;https://twitter.com/Uni_Stuttgart
Rudolf Presl GmbH & Co. Klinik Bavaria Rehabilitations KG;https://twitter.com/klinik_bavaria
Freie Universität Berlin;https://twitter.com/fu_berlin
IUBH Internationale Hochschule GmbH;https://twitter.com/campusiubh?lang=en
Freie Universität Berlin;https://twitter.com/fu_berlin?lang=en
Justus-Liebig-Universität Giessen;https://twitter.com/jlugiessen?lang=en
VNG AG;https://twitter.com/VNGAG
Georg-August-Universität Göttingen;https://twitter.com/unigoettingen
Universität Heidelberg;https://twitter.com/UniHeidelberg
iba - Internationale Berufsakademie der F+U Unternehmensgruppe gGmbH;https://twitter.com/ibaDual/
Technische Hochschule Ostwestfalen-Lippe;https://twitter.com/THochschuleOWL
Technische Universität München Referat 46 Gebäudemanagement;https://twitter.com/TU_Muenchen
Hochschule Düsseldorf;https://twitter.com/hsduesseldorf
Hochschule Schmalkalden;https://twitter.com/hs_schmalkalden
Universität Trier;https://twitter.com/TrierUni
TH Köln;https://twitter.com/th_koeln
Wbs Gruppe;https://twitter.com/wbsgruppe
Hochschule für Wirtschaft, Technik und Kultur (HWTK);https://twitter.com/hwtkuniversity
Hochschule für angewandte Wissenschaften München;https://twitter.com/hmmuenchen
Universität Greifswald;https://twitter.com/wissen_lockt
Technische Universität Hamburg;https://twitter.com/TUHamburg
Kunsthochschule für Medien Köln;https://twitter.com/khmkoeln
Hochschule Rhein-Waal;https://twitter.com/HochschuleRW
RWTH Aachen University;https://twitter.com/RWTH?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Universitätsmedizin Tübingen;https://twitter.com/uktuebingen
Technische Universität Darmstadt;https://twitter.com/tudarmstadt?lang=en
Justizvollzugsschule des Landes Schleswig-Holstein;https://twitter.com/Land_SH
Von Steig Mentoring Und Beratung;https://twitter.com/vonsteig?lang=en
Universität Heidelberg;https://twitter.com/UniHeidelberg
Hertie School of Governance;https://twitter.com/thehertieschool/
Technische Hochschule Aschaffenburg;https://twitter.com/th_ab_bib?lang=en
Rhön-Klinikum Campus Bad Neustadt;https://twitter.com/campusnes_pr
FOM Hochschule für Berufstätige, Ökonomie & Management gemeinnützige GmbH;https://twitter.com/fomhochschule
IUBH Internationale Hochschule GmbH;https://twitter.com/IUBH_DS
HOCHSCHULE für Angewandte Wissenschaften - Fachhochschule LANDSHUT;https://twitter.com/hawlandshut?lang=en
IUBH Internationale Hochschule GmbH;https://twitter.com/iubh_ds?lang=en
Hochschule für Angewandte Wissenschaften - Hochschule Neu-Ulm;https://twitter.com/hs_neu_ulm
Nordwest-zeitung Verlagsgesellschaft Mh Und Co. Kg;https://twitter.com/nwzonline
Universität Leipzig;https://twitter.com/unileipzig
Leibniz Universität Hannover;https://twitter.com/unihannover?lang=de
IUBH Internationale Hochschule GmbH - Campus Frankfurt a. M.;https://twitter.com/iubh_ds?lang=en
Universität für Musik und darstellende Kunst Wien;https://twitter.com/mdwwien
Hochschule Mannheim;https://twitter.com/hsmanews?lang=en
Katholische Hochschule Nordrhein-Westfalen;https://twitter.com/kathonrw?lang=en
Niedersächsisches Studieninstitut für kommunale Verwaltung e.V.;https://twitter.com/hsvntweet
Universität Stuttgart;https://twitter.com/Uni_Stuttgart
Hochschule Hamm-Lippstadt;https://twitter.com/HSHammLippstadt
Provadis School of International Management and Technology;https://twitter.com/provadisschool
Hochschule Fresenius;https://twitter.com/hs_fresenius?lang=en
Hochschule Furtwangen;https://twitter.com/hs_furtwangen
AKAD University - AKAD Bildungsgesellschaft mbH;https://twitter.com/akaduniversity
Dhbw Duale Hochschule Baden-württemberg - Präsidium;https://twitter.com/dhbw_stgt?lang=en
Beuth Hochschule für Technik Berlin;https://twitter.com/BeuthHS
DRK Hamburg gemeinnützige Gesellschaft zur Förderung der Kinder- und Jugendhilfe mbH;https://twitter.com/roteskreuz_de
Hochschule Ruhr West;https://twitter.com/hsruhrwest?lang=en
Hochschule Rhein-Waal - Rhine-Waal University of Applied Sciences;https://twitter.com/HochschuleRW
DHWB Duale Hochschule Baden-Württemberg Mannheim;https://twitter.com/dhbw_stgt?lang=en
hsg Hochschule für Gesundheit;https://twitter.com/hsgbochum
Rheinische Friedrich-Wilhelms-Universität Bonn;https://twitter.com/unibonn?lang=en
Hochschule Emden/Leer;https://twitter.com/HS_EmdenLeer
Fachhochschule Südwestfalen;https://twitter.com/fhsuedwestfalen?lang=en
GSM Training & Integration GmbH;https://twitter.com/wirbewegenwas?lang=en
Fachhochschule Dortmund;https://twitter.com/fh_dortmund
Fachhochschule Kiel;https://twitter.com/vielfhkiel
Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH) / HTWK Leipzig;https://twitter.com/htwkleipzig
Universität Potsdam;https://twitter.com/unipotsdam
Universität Bremen;https://twitter.com/unibremen
Technische Hochschule Brandenburg;https://twitter.com/TH_Brandenburg
Goethe-Institut e.V.;https://twitter.com/goetheinstitut
DAAD Deutscher Akademischer Austauschdienst e.V.;https://twitter.com/daad_germany?lang=en
Hochschule Mainz;https://twitter.com/HS_Mainz
Hochschule Reutlingen;https://twitter.com/HS_reutlingen
Hochschule Trier;https://twitter.com/HochschuleTrier
Hochschule Niederrhein;https://twitter.com/HSNiederrhein
Hochschule Karlsruhe - Technik und Wirtschaft;https://twitter.com/hskanews
Hochschule für Technik und Wirtschaft Dresden;https://twitter.com/dresdenhtw?lang=en
Herz- und Diabeteszentrum NRW der Ruhr-Universität Bochum;https://twitter.com/hdznrw?lang=en
Universität der Bundeswehr München;https://twitter.com/unibw_m?lang=en
Hochschule Für Angewandte Wissenschaften Würzburg-Schweinfurt;https://twitter.com/fhws_presse?lang=en
Hochschule für Technik und Wirtschaft des Saarlandes;https://twitter.com/htw
Hochschule Aalen;https://twitter.com/hochschuleaalen?lang=en
Fachhochschule Münster / FH Münster;https://twitter.com/fh_muenster
Bergische Universität Wuppertal;https://twitter.com/uni_wuppertal
RWTH Rheinisch-Westfälischen Technischen Hochschule / RWTH Aachen University;https://twitter.com/RWTH?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Universitätsklinikum Freiburg;https://twitter.com/Uniklinik_Fr
Hochschule Anhalt (FH);https://twitter.com/HSAnhalt
HTW Berlin / Hochschule für Technik und Wirtschaft Berlin;https://twitter.com/HTW_Berlin
Hochschule für angewandte Wissenschaften Coburg;https://twitter.com/hs_coburg?lang=en
Fachhochschule Erfurt;https://twitter.com/fh_erfurt
Otto-von-Guericke-Universität Magdeburg;https://twitter.com/OVGUpresse
Deutsche Sporthochschule Köln;https://twitter.com/SpoHoKoeln
Pädagogische Hochschule Karlsruhe;https://twitter.com/diesacademicus?lang=en
Friedrich-Alexander-Universität Erlangen-Nürnberg;https://twitter.com/UniFAU
Hochschule Pforzheim;https://twitter.com/hs_pforzheim
TUHH Technische Universität Hamburg;https://twitter.com/TUHamburg
OTH Ostbayerische Technische Hochschule Regensburg;https://twitter.com/oth_regensburg?lang=en
Hochschule Flensburg Flensburg University of Applied Sciences;https://twitter.com/HochschuleFL
Fraunhofer-Institut für Umwelt- Sicherheits- und Energietechnik Umsicht;https://twitter.com/umsicht
Klax Berlin gGmbH;https://twitter.com/klax_de
Technische Universität Darmstadt;https://twitter.com/tudarmstadt?lang=en
Provadis Partner für Bildung & Beratung GmbH;https://twitter.com/provadis
Hochschule Biberach;https://www.instagram.com/hbc.biberach/
Miltenyi Biotec B.V. & Co. KG;https://twitter.com/miltenyibiotec
Universität Erfurt;https://twitter.com/unierfurt
Eberhard Karls Universität Tübingen;https://twitter.com/uni_tue
Fachhochschule Stralsund;https://twitter.com/HS_Stralsund
Hochschule Nordhausen;https://twitter.com/fhnordhausen?lang=de
Hochschule Bremerhaven;https://twitter.com/hs_bremerhaven?lang=en
Hochschule für Musik und Darstellende Kunst Frankfurt am Main;https://twitter.com/HfMDK
Universität Regensburg;https://twitter.com/uni_regensburg?lang=en
Hochschule für Angewandte Wissenschaften - Fachhochschule Aschaffenburg;https://twitter.com/th_ab_bib?lang=en
euniwell Universität für Wohlbefinden / c / o Universität zu Köln;https://twitter.com/UniCologne
Karl-Franzens-Universität Graz;https://twitter.com/UniGraz
Universität Paderborn;https://twitter.com/unipb
Pädagogische Hochschule Freiburg;https://twitter.com/zelf_ph?lang=en
Ludwigs-Maximilians-Universität München - Medizinische Fakultät;https://twitter.com/lmu_muenchen?lang=en
HNE Hochschule für nachhaltige Entwicklung Eberswalde (FH);https://twitter.com/hneeberswalde
Medical Park Chiemsee;https://twitter.com/intent/follow?source=followbutton&variant=1.0&screen_name=MEDICALPARK_GER
Universität Kaiserslautern Fachbereich Physik;https://twitter.com/uni_kl
Deutsches Herzzentrum Berlin;https://twitter.com/dhzberlin
Deutsche Universität für Verwaltungswissenschaften Speyer;https://twitter.com/uni_speyer?lang=en
Otto-Friedrich-Universität Bamberg;https://twitter.com/uni_bamberg_of?lang=en
Hochschule Kaiserslautern;https://twitter.com/Hochschule_KL
FHW Fachhochschule Westküste Hochschule für Wirtschaft u. Technik;https://twitter.com/fhwestkueste
Johann Wolfgang Goethe-Universität;https://twitter.com/goetheuni?lang=en
Technische Hochschule Ulm;https://twitter.com/thu_ulm?lang=en
Hochschule Wismar;https://twitter.com/HSWismarPresse
Hochschule der Medien;https://twitter.com/hdm_stgt?lang=de
Ludwig-Maximilians-Universität;https://twitter.com/lmu_muenchen?lang=en
Technische Universität Wien -TU Wien- / Vienna University of Technology;https://twitter.com/tuvienna?lang=en
Gottfried Wilhelm Leibniz Universität Hannover;https://twitter.com/unihannover?lang=de
Technische Universität München Heinz Maier-Leibnitz (FRM II);https://twitter.com/TU_Muenchen
Technische Universität Berlin;https://twitter.com/TUBerlin
Fachhochschule Aachen;https://twitter.com/fh_aachen?lang=en
Bauhaus-Universität Weimar;https://twitter.com/bauhaus_uni
HAWK - Hochschule für angewandte Wissenschaft und Kunst;https://twitter.com/newsroom_hawk?lang=en
Fachhochschule Kiel;https://twitter.com/vielfhkiel
HRK Hochschulrektorenkonferenz;https://twitter.com/hrk_aktuell?lang=en
Universität Passau;https://twitter.com/UniPassau
Westfälische Wilhelms-Universität Münster;https://twitter.com/WWU_Muenster
Kbo Kinderzentrum München Gemeinnützige Gmbh;https://twitter.com/kboKliniken
Universität des Saarlandes;https://twitter.com/Saar_Uni
Hochschule für Angewandte Wissenschaften Hamburg (HAW Hamburg);https://twitter.com/HAW_Hamburg
Diakonie Kork;https://twitter.com/diakoniekork
Hochschule Bonn-Rhein-Sieg;https://twitter.com/h_bonnrheinsieg
HFH · Hamburger Fern-Hochschule gGmbH;https://twitter.com/HFH_Fernstudium
Universität Duisburg-Essen;https://twitter.com/unidue
Universität zu Lübeck;https://twitter.com/UniLuebeck
Westfälische Wilhelms-Universität Münster / WWU;https://twitter.com/WWU_Muenster
Universität Hohenheim;https://twitter.com/unihohenheim
Universität Bayreuth;https://twitter.com/unibt
Universität der Künste Berlin;https://twitter.com/UdK_Berlin_
esmt European School of Management and Technology GmbH;https://twitter.com/esmtberlin
Carl von Ossietzky Universität Oldenburg;https://twitter.com/unioldenburg
Philipps-Universität Marburg;https://twitter.com/uni_mr
Ruprecht Karls Universität Heidelberg;https://twitter.com/UniHeidelberg
Helmut-Schmidt-Universität;https://twitter.com/hsuhamburg
Universität Kassel;https://twitter.com/presseunikassel?lang=de
Universität Duisburg-Essen (UDE) - Campus Duisburg;https://twitter.com/unidue
Universität Augsburg;https://twitter.com/uni__augsburg
Bernd Blindow Gruppe;https://twitter.com/blindow?lang=de
Technische Universität Berlin;https://twitter.com/TUBerlin
Hochschule Osnabrück;https://twitter.com/hs_osnabrueck?lang=en
IB Internationaler Bund e.V. - Freier Träger der Jugend-, Sozial- u. Bildungsarbeit e.V.;https://twitter.com/IntBund
Fachhochschule Karlsruhe Hochschule für Technik;https://twitter.com/hskanews
Westsächsische Hochschule Zwickau;https://twitter.com/WHZ_Zwickau
Otto-Friedrich-Universität Bamberg;https://twitter.com/uni_bamberg_of?lang=en
