company;youtube
CAMPUS 02 Fachhochschule der Wirtschaft GmbH;https://www.youtube.com/channel/UCsZRIvdPI-MGEsHSGDMmLpA
FH Gesundheitsberufe OÖ GmbH;https://www.youtube.com/user/FHGesundheitsberufe
Berufsförderungsinstitut Österreich;https://www.youtube.com/channel/UCpvKA1Kx89mPM_-m4634yJw
OeAD (Österreichische Austauschdienst)-Gesellschaft mit beschränkter Haftung;https://www.youtube.com/user/TheOead
Pädagogische Hochschule Salzburg;https://www.youtube.com/channel/UCqQpkE1zJQGnT3DlwDwkxeA
Alpen-Adria-Universität Klagenfurt;https://www.youtube.com/channel/UCiCs9GwxFvm2HulOkQNEDaw
FH OÖ Studienbetriebs GmbH;https://www.youtube.com/user/fhooeat
Anton Bruckner Privatuniversität Linz;https://www.youtube.com/channel/UC3he9L66QznSFrXOVyg6-Ig
LearnChamp Consulting GmbH;https://www.youtube.com/channel/UCUmboQ4EvxSwVh66PrjiPUg
FH OÖ Forschungs und Entwicklungs GmbH;https://www.youtube.com/user/fhooeat
Mobile Nachhilfe - Mag. Kügerl Bildungsmanagement OEG;https://www.youtube.com/user/hansik19/featured
Teach For Austria gemeinnützige GmbH;https://www.youtube.com/user/TeachForAustria/
Collegium Bernardi - Privatgymnasium Mehrerau;https://www.youtube.com/user/CollegiumBernardi
Universität Liechtenstein;https://www.youtube.com/user/UniLiechtenstein
DeutschAkademie Sprachschule GmbH;https://www.youtube.com/user/DeutschAkademie
AMADEUS – International School Vienna;https://www.youtube.com/channel/UCbyltxrxTz0w-7wKPK7r7bQ
music support group GmbH / Deutsche POP;https://www.youtube.com/deutschepop
Paracelsus Medizinische Privatuniversität;https://www.youtube.com/c/ParacelsusMedizinischePrivatuniversit%C3%A4t/featured
Fachhochschule KufsteinTirol GmbH;https://www.youtube.com/user/FHKufsteinTirol
BZL - Bildungszentrum Lenzing GmbH;https://www.youtube.com/channel/UChihs5XCLr-q2GsR4W9pkyg/featured
Roadstars GmbH für Verkehr und Mobilität;https://www.youtube.com/user/FSRoadstars
Karl Landsteiner Privatuniversität für Gesundheitswissenschaften;https://www.youtube.com/channel/UCYh7Gg_SpAJ6wsicLm4lDSA
Schülerhilfe Spittal/Drau;https://www.youtube.com/user/schuelerhilfechannel/
UZH Universität Zürich;https://www.youtube.com/user/uzhch
Bildungshaus Batschuns;https://www.youtube.com/channel/UCCr_aG0tdSSA8CXl8VFCEZA
Die Wiener Volkshochschulen GmbH;https://www.youtube.com/user/wienerVHS
THD - Technische Hochschule Deggendorf;https://www.youtube.com/user/THDeggendorf/
LFI Ländliches Fortbildungsinstitut Tirol;https://www.youtube.com/channel/UCsPmyAQEpKH7ygs1QmYuQaQ
bfi-work4me / bfi Wien Berufsförderungsinstitut Wien;https://www.youtube.com/channel/UCpvKA1Kx89mPM_-m4634yJw
Fahrschule Breuss;https://www.youtube.com/channel/UCbu64lApaS458UTw8eycVJw
Hochschule Weihenstephan-Triesdorf;https://www.youtube.com/channel/UCNZw_56nDd1ygRJ4JzIFaLw/
Wirtschaftsuniversität Wien;https://www.youtube.com/user/wuvienna/
Skischule Lech GmbH & CoKG;https://www.youtube.com/user/SkischuleArlbergLech
St. Nikolaus-Kindertagesheimstiftung;https://www.youtube.com/user/StNikolausStiftung
Universität Mozarteum Salzburg;https://www.youtube.com/channel/UC470Q007n74toOmDwoWr6ig
FH St. Pölten GmbH / Fachhochschule St. Pölten GmbH;https://www.youtube.com/channel/UCA-IcrffEzCfEhUhls7lUTw
BFI Tirol;https://www.youtube.com/user/bfitirol
Sigmund Freud PrivatUniversität;https://www.youtube.com/user/sfuadmin/featured
ARS Akademie für Recht und Steuern;https://www.youtube.com/channel/UCW7VxJHGXalI-2YXSuSCuEw
Lebenshilfe Wien - Verein für Menschen mit intellektueller Beeinträchtigung;https://www.youtube.com/channel/UCRWauMxDysvOhr8cDLJLLGw
Webster Vienna Private University;https://www.youtube.com/user/webstervienna
bfi Steiermark - Geschäftsführung;https://www.youtube.com/user/bfiSteiermark
Medizinische Universität Graz;https://www.youtube.com/channel/UCVNN6Hve8le5_mPcAMGzDZg
Technische Universität Graz;https://www.youtube.com/tugraz
zam Steiermark GmbH;https://www.youtube.com/user/ZAMSteiermark
Johannes Kepler Universität Linz;https://www.youtube.com/user/jkulinz
Anton Bruckner Privatuniversität;https://www.youtube.com/channel/UC3he9L66QznSFrXOVyg6-Ig
IMC Fachhochschule Krems;https://www.youtube.com/fhkrems/
Technische Universität Graz;https://www.youtube.com/tugraz
Universität Wien Zentraler Informatikdienst;https://www.youtube.com/user/univienna/search?query=informatik
Jugend am Werk - Lehrbetrieb Technologiezentrum;https://www.youtube.com/user/PRJaW
Technische Universität Braunschweig;https://www.youtube.com/user/tubraunschweig/
WIFI ÖFA GmbH;https://www.youtube.com/user/WIFIOOE
imh GmbH;https://www.youtube.com/channel/UChS40v8KnQUbev6JGsPp-EA
Masterplan com GmbH;https://www.youtube.com/channel/UCOfiIq0ohjGjlM2xMsf-b6g
Universität für Musik und darstellende Kunst Graz (KUG);https://www.youtube.com/channel/UCLihz1a5TTUJpJIJlUw3gUw
Fachhochschule Wiener Neustadt für Wirtschaft und Technik;https://www.youtube.com/channel/UCCG1SbrZJMdnaLQJdIMcBgw
FH Wien der WKW;https://www.youtube.com/channel/UCx7SOMdHYOD-g1H2iANYJ0Q
autArK Integrationsfachdienst;https://www.youtube.com/channel/UC6_B3NBUjas8WTvBiAZ_g2Q
Donau-Universität Krems;https://www.youtube.com/user/danubeuniversity
IUBH Internationale Hochschule GmbH;https://www.youtube.com/user/IUBHGermany
Schulverein Barmherzige Schwestern Innsbruck - Gymnasium Kettenbrücke;https://www.youtube.com/user/SanaKettenbruecke
CS Caritas Socialis GmbH / CS Kinderbetreuungs GmbH;https://www.youtube.com/c/CsOrAt
Volkshilfe Arbeitswelt GmbH;https://www.youtube.com/user/Volkshilfeooe
Fachhochschule Oberösterreich;https://www.youtube.com/user/fhooeat
FH OÖ Studienbetriebs GmbH;https://www.youtube.com/user/fhooeatwels
FH OÖ forschungs- & Entwicklungs GmbH;https://www.youtube.com/user/fhooeat
Zebra Die Fahrschule;https://www.youtube.com/user/fahrschulezebra
BOKU Universität für Bodenkultur;https://www.youtube.com/channel/UCUnrzZ1_txSz-jKh5lBcRgg
Fachhochschule Technikum Kärnten;https://www.youtube.com/user/fhkaernten
Österreichische Akademie der Wissenschaften (ÖAW);https://www.youtube.com/channel/UCY3rUdfN-VCjvfUWojWkayQ
Universität für Musik und darstellende Kunst Wien;https://www.youtube.com/user/mdwvienna
Privatuniversität Schloss Seeburg;https://www.youtube.com/channel/UCfRY9rUeqstMLPiyVQzUX1w
Montanuniversität Leoben;https://www.youtube.com/channel/UCyBGN9CHmo7M3y8GVHJ2n6A
Veterinärmedizinische Universität Wien;https://www.youtube.com/channel/UC8aEnjQfkVh0j6NJyIxesQw
Fachhochschule Weihenstephan;https://www.youtube.com/channel/UCNZw_56nDd1ygRJ4JzIFaLw/
Universität für angewandte Kunst Wien;https://www.youtube.com/user/DieAngewandteWien
FH JOANNEUM Gesellschaft mbH;https://www.youtube.com/user/fhjoanneum
Technische Hochschule Rosenheim;https://www.youtube.com/c/TechnischeHochschuleRosenheim
Technische Universität Wien -TU Wien- / Vienna University of Technology;https://www.youtube.com/channel/UC7oouRIqDfYHEO3hP59MowA
Fachhochschule Technikum Kärnten;https://www.youtube.com/user/fhkaernten
SNP Schneider-Neureither und Partner AG;https://www.youtube.com/user/SNPAG
Universität Mannheim;https://www.youtube.com/UniMannheim
Minihaus München;https://www.youtube.com/channel/UChmjGIWUHyYvp6tV8qQuscw
Hochschule Bremen;https://www.youtube.com/c/HSBHochschuleBremen/featured
Ostfalia Hochschule für angewandte Wissenschaften;https://www.youtube.com/user/Ostfalia
Hochschule RheinMain;https://www.youtube.com/user/HochschuleRheinMain
Hochschule Kempten - Hochschule für angewandte Wissenschaften / Professional School of Business & Technology;https://www.youtube.com/user/HSKemptenTV
Horváth & Partner;https://www.youtube.com/user/horvathundpartners
Kindergärten NordOst;https://www.youtube.com/user/Kigaeno
Technische Universität München TUM;https://www.youtube.com/user/TUMuenchen1
IST-Studieninstitut GmbH;https://www.youtube.com/c/iststudieninstitut
Hochschule für angewandte Wissenschaften Augsburg;https://www.youtube.com/user/HochschuleAugsburg
Hochschule Worms;https://www.youtube.com/channel/UCNkpI-sxWfH3DXFa1aEteaQ
WHU - Otto Beisheim School of Management;https://www.youtube.com/user/visitWHU
Alice-Salomon-Hochschule Berlin;https://www.youtube.com/channel/UCnDEKBNniYb4HM7bv80f_oQ
Staatliche Akademie der Bildenden Künste Stuttgart;https://www.youtube.com/channel/UCPsPkUbBwkaL7UJJ3ElmJXQ
Universität Bielefeld;https://www.youtube.com/user/BielefeldUniversity/
Hochschule Fulda;https://www.youtube.com/channel/UCa_3SyxWZviCwQrMBt1b5Ww
Universität Wien;https://www.youtube.com/channel/UCghguDKOKiOCBdKffCtmE4A
S-W-E-P / Spanish Work Exchange Programme;https://www.youtube.com/channel/UCBWO_1BrekJhxcS1uz4d8Mw
Freie Universität Bozen;https://www.youtube.com/channel/UCWRr0vMGqdmyqzdm3bNGY4Q
Technische Universität Clausthal;https://www.youtube.com/user/TUClausthal/
Hochschule Konstanz HTWG;https://www.youtube.com/c/HochschuleKonstanzHTWG
Brandenburgische Technische Universität Cottbus-Senftenberg;https://www.youtube.com/c/BTUCottbusSenftenberg
Phorms Education SE;https://www.youtube.com/user/PhormsSchools
IHK-Akademie;https://www.youtube.com/channel/UCoYbZtHAPgvfrKalusGYNEw
UAS Frankfurt University of Applied Sciences;https://www.youtube.com/channel/UCMSKJyx1t-fLZl-OxMR3Hnw
MSH Medical School Hamburg Fachhochschule für Gesundheit und Medizin;https://www.youtube.com/channel/UCnA_HSHAKtyneHa0EEu0ARw
telc GmbH;https://www.youtube.com/user/telctube
CAU Christian-Albrechts-Universität zu Kiel;https://www.youtube.com/user/kieluni
Technische Universität Ilmenau;https://www.youtube.com/user/tuilmenau
Alfatraining Bildungszentrum Gmbh;https://www.youtube.com/alfatraining
Jacobs University Bremen gGmbH;https://www.youtube.com/user/JacobsUni
Julius-Maximilians-Universität Würzburg KöR;https://www.youtube.com/user/uniwuerzburg/search?itct=CAMQ8JMBGAYiEwjIiOa81OLWAhUI2JwKHaZPBY0%3D&hl=en&gl=US&client=mv-google&app=desktop
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen;https://www.youtube.com/user/HfWUimFilm/
Technische Universität Berlin;https://www.youtube.com/user/TUBerlinTV
Kukita GmbH & Co. KG;https://www.youtube.com/channel/UC8tM7DWHeVrwNnPlo_mFvEA
Hochschule Ravensburg-Weingarten;https://www.youtube.com/c/HochschuleRavensburgWeingartenUniversity
Hochschule Anhalt;https://www.youtube.com/channel/UC_KgOfb7KsinWUebe3EdF8Q
Leuphana Universität Lüneburg;https://www.youtube.com/user/Leuphana
THM Technische Hochschule Mittelhessen;https://www.youtube.com/channel/UCfKDEtW_pSXQg6MIHVc3FCA
Rheinische Friedrich-Wilhelms-Universität Bonn;https://www.youtube.com/user/UniBonnTV
Technische Hochschule Mittelhessen - University of Applied Sciences - THM Business School;https://www.youtube.com/user/thmittelhessen
Wismar International Graduation Service GmbH;https://www.youtube.com/user/WingsFernstudium
Hochschule Hannover;https://www.youtube.com/user/HochschuleHannover
Dominikus-Ringeisen-Werk;https://www.youtube.com/user/DominikusRingeisen
Internationale Berufsakademie der F+U Unternehmensgruppe gGmbH;https://www.youtube.com/ibaDual
Hessische Hochschule für Polizei und Verwaltung;https://www.youtube.com/channel/UCQx3SdCohSYoo_WFVPwx-cg
Internationale Berufsakademie der F+U Unternehmensgruppe gGmbH;https://www.youtube.com/ibaDual
International School of Management (ISM) GmbH;https://www.youtube.com/user/ISMHochschule
Technische Universität Kaiserslautern;https://www.youtube.com/user/TUKaiserslautern
Humboldt-Universität zu Berlin;https://www.youtube.com/channel/UC4wo_7pOtMhCG-_UBHotvhg
Fachhochschule Potsdam - University of Applied Sciences;https://www.youtube.com/user/FHPotsdam
Alpen-Adria-Universität Klagenfurt;https://www.youtube.com/channel/UCiCs9GwxFvm2HulOkQNEDaw
KWA Stift Rosenau;https://www.youtube.com/user/KWAwohnen/
Sodexo Services GmbH;https://www.youtube.com/user/SodexoGroup
Katholische Universität Eichstätt-Ingolstadt;https://www.youtube.com/unieichstaett
All for One Group AG;https://www.youtube.com/channel/UCOZrXPMbrEql2deZ6Uv_kyA
Hochschule Darmstadt - University of Applied Sciences;https://www.youtube.com/channel/UCSYGMjIiutDZ8ZfueCXFIpw
Martin-Luther-Universität Halle-Wittenberg;https://www.youtube.com/user/UniHalleMLU
Fachhochschule Südwestfalen;https://www.youtube.com/c/fhsuedwestfalen
Ernst-Moritz-Arndt-Universität Greifswald;https://www.youtube.com/user/UniGreifswald
Internationale Hochschule für Wirtschaft, Technik und Kultur gGmbH;https://www.youtube.com/channel/UC_63LDwN3MFzYLS6sbStkZQ
Universität Rostock;https://www.youtube.com/user/unirostock/
Hochschule Bochum;https://www.youtube.com/user/HochschuleBochum
DeutschAkademie Sprachschule GmbH;https://www.youtube.com/user/DeutschAkademie
Fachhochschule Südwestfalen;https://www.youtube.com/c/fhsuedwestfalen
Universität Koblenz-Landau;https://www.youtube.com/user/unikoblenzlandau
IUBH Internationale Hochschule GmbH;https://www.youtube.com/user/IUBHFernstudium/
Zeppelin Universität gemeinnützige GmbH;https://www.youtube.com/user/ZeppelinUni
Teach First Deutschland gemeinnützige GmbH;https://www.youtube.com/user/TeachFirstDE
Universität Stuttgart;https://www.youtube.com/user/UniStuttgartTV
Hochschule Geisenheim;https://www.youtube.com/user/campusgeisenheim
Universität Duisburg-Essen (UDE) - Campus Essen;https://www.youtube.com/user/UDEchannel
Universität Osnabrück;https://www.youtube.com/channel/UCN_aFLAXQEKZIa96PXxbi0Q
Hochschule für angewandte Wissenschaften Ansbach;https://www.youtube.com/channel/UCXrTpFG9VzNJYGtCn9eTCRg
Schulwerk der Diözese Augsburg;https://www.youtube.com/user/BistumAugsburg/featured
DHBW Duale Hochschule Baden-Württemberg Heilbronn;https://www.youtube.com/user/dhbwheilbronn
IST-Hochschule für Management GmbH;https://www.youtube.com/c/iststudieninstitut
Technische Hochschule Nürnberg Georg Simon Ohm;https://www.youtube.com/user/THNuernberg
UZH Universität Zürich;https://www.youtube.com/user/uzhch
Hochschule Koblenz;https://www.youtube.com/user/hochschulekoblenz
Technische Hochschule Ingolstadt;https://www.youtube.com/user/HochschuleIngolstadt
THD - Technische Hochschule Deggendorf;https://www.youtube.com/user/THDeggendorf/
Universität Konstanz;https://www.youtube.com/user/UniversitaetKonstanz
Hochschule für Musik Nürnberg;https://www.youtube.com/channel/UC_ZxXrygIwjucEiEYblzhiw
Technische Hochschule Wildau / Technical University of Applied Sciences Wildau;https://www.youtube.com/TechnischeHochschuleWildau
SterniPark GmbH;https://www.youtube.com/channel/UCjWpe819pML-_3m8Pz7ZZfQ/featured
Universität Ulm;https://www.youtube.com/user/uulm
Hochschule Esslingen;https://www.youtube.com/c/hochschuleesslingen
ZHAW Zürcher Hochschule für angewandte Wissenschaften;https://www.youtube.com/channel/UCQW6L-T6rNRVnJtqVlrm2Gw
Friedrich-Schiller-Universität Jena;https://www.youtube.com/channel/UCRG-Rab5AUFFJxifJKuoePQ
TÜV NORD Bildung GmbH & Co. KG;https://www.youtube.com/user/tuevnordgroup
Hochschule Weihenstephan-Triesdorf;https://www.youtube.com/channel/UCNZw_56nDd1ygRJ4JzIFaLw/
HSR Hochschule für Technik Rapperswil;https://www.youtube.com/user/hsrwebmaster
Technische Hochschule Lübeck;https://www.youtube.com/channel/UCNDvKx4w_jHHZatBRTOdR-g
Wirtschaftsuniversität Wien;https://www.youtube.com/user/wuvienna/
Universität Rostock;https://www.youtube.com/user/unirostock/
BERUFSBILDUNGSWERK SÜDHESSEN gGmbH;https://www.youtube.com/channel/UCfq6CW82wBm7eMz_JfOVzLw
SAFS & BETA KG;https://www.youtube.com/user/safsbeta
Stiftung Tierärztliche Hochschule Hannover;https://www.youtube.com/user/TiHoVideos/featured
TÜV SÜD Rail GmbH;https://www.youtube.com/channel/UCrey9goo31y3_fD10v60LQA
Regionalverband Ruhr - Metropole Ruhr;https://www.youtube.com/channel/UCCJDPVQdYd_TRVqT_sutt7g
Stiftung Universität Hildesheim;https://www.youtube.com/channel/UCGQ1_JA_ZJ-RVfkaxOp0KTw
IUBH Internationale Hochschule GmbH;https://www.youtube.com/channel/UCdXALnF1VLvlZykTnTKmWJw
B.i.b. International College - B.i.b. Bildungszentrum Für Informationsverarbeitende Berufe E. V.;https://www.youtube.com/channel/UCDVvs3VCszSgc45KmHBbLnA
dispo-Tf education GmbH;https://www.youtube.com/channel/UCo8jhxWmDUCu71bzjkE1G9w
Internationaler Bund Berlin-Brandenburg gGmbH;https://www.youtube.com/user/InternationalerBund
Schülerhilfe GmbH & Co. KG;https://www.youtube.com/user/schuelerhilfechannel/
Phorms Campus München;https://www.youtube.com/user/PhormsSchools
Hochschule für Polizei Baden-Württemberg;https://www.youtube.com/channel/UCQWjSKERdTV1036ymzi8XCA
Technische Universität Dresden;https://www.youtube.com/user/TUDresdenTV
Universität Siegen;https://www.youtube.com/user/UniversitaetSiegen
Ernst-Abbe-Hochschule Jena;https://www.youtube.com/user/FachhochschuleJena
eLearning Manufaktur GmbH;https://www.youtube.com/user/zogeor
Internationale Berufsakademie;https://www.youtube.com/ibaDual
Technische Universität Dresden;https://www.youtube.com/user/TUDresdenTV
Hochschule München;https://www.youtube.com/channel/UCx-VipFK-0IVI2R2pQD5UOQ
Hochschule für Wirtschaft und Recht (HWR) Berlin;https://www.youtube.com/channel/UCl91CT5O62lr8JFIdozM7zw
IUBH Internationale Hochschule GmbH;https://www.youtube.com/channel/UCdXALnF1VLvlZykTnTKmWJw
Kolping-Bildungswerk im Erzbistum Bamberg e. V.;https://www.youtube.com/channel/UCSd3hvjlwOUE65hiohLdHWA
Hochschule für angewandtes Management;https://www.youtube.com/channel/UCSWc-GSPBV784f8RB5uahYA/featured
German University in Cairo (GUC);https://www.youtube.com/channel/UChnmHpUVcfvfDVlnU2K-wmA
karriere tutor GmbH;https://www.youtube.com/channel/UCWNJdop_4FrdFfmjD9ky-pQ
iba Internationale Berufsakademie der F+U Unternehmensgruppe gGmbH;https://www.youtube.com/ibaDual
Duale Hochschule Gera-Eisenach;https://www.youtube.com/channel/UCEsa5nPbmZb4p3s6qIQHbxg
Evangelische Hochschule Dresden;https://www.youtube.com/channel/UC_UPAjanWP7-uoiZ3tn_ibw
Hochschule für angewandtes Management GmbH;https://www.youtube.com/channel/UCSWc-GSPBV784f8RB5uahYA/featured
Hochschule Osnabrück;https://www.youtube.com/user/HochschuleOS
Studienkreis Die Nachhilfe - Studienkreis Partnersysteme GmbH;https://www.youtube.com/user/studienkreisyt
Ludwig Fresenius Schulen;https://www.youtube.com/c/LudwigFreseniusSchulen
Hochschule München - Hochschule für angewandte Wissenschaften München;https://www.youtube.com/user/HochschuleMuenchen1
Technische Universität Graz;https://www.youtube.com/tugraz
Macromedia GmbH - Hochschule und Akademie;https://www.youtube.com/user/macromediathek
Technische Universität Braunschweig;https://www.youtube.com/user/tubraunschweig/
Technische Universität Chemnitz;https://www.youtube.com/user/tuchemnitz
Freie Universität Berlin;https://www.youtube.com/channel/UChGMnECSItBUYZH1YIXLj-w
INN-tegrativ gGmbH;https://www.youtube.com/channel/UCYo4iJLhLrkLRkF9N48ENBg
Gesellschaft für Personalentwicklung und Bildung mbH;https://www.youtube.com/channel/UCHteBwvdcgxY-V062cCUXyQ
Fachhochschule Südwestfalen;https://www.youtube.com/c/fhsuedwestfalen
DHBW Duale Hochschule Baden-Württemberg Mosbach;https://www.youtube.com/user/DualeHochschuleBW
Universität Freiburg - Technische Fakultät;https://www.youtube.com/channel/UCxFZn3tmzMvjLDAk9IR7NXA
Technische Universität München;https://www.youtube.com/user/TUMuenchen1
Hochschule Magdeburg-Stendal (FH);https://www.youtube.com/user/HochschuleMagdeburg
Hochschule Ostwestfalen-Lippe;https://www.youtube.com/technischehochschuleowl
Universität für Musik und darstellende Kunst Graz (KUG);https://www.youtube.com/channel/UCLihz1a5TTUJpJIJlUw3gUw
Universitätsklinikum Tübingen;https://www.youtube.com/channel/UCS_4R0wdfVZNMfY0g8kjwWg
Wbs Training Ag - WBS Gruppe;https://www.youtube.com/channel/UCl8_XfFxXZN3ksJcHSaJyUA
Justus-Liebig-Universität Gießen Institut für Lebensmittelchemie und Lebensmittelbiotechnologie;https://www.youtube.com/channel/UCh0pXgxS8S08PiC872DGUcg
IUBH Internationale Hochschule GmbH;https://www.youtube.com/channel/UCdXALnF1VLvlZykTnTKmWJw
TÜV Rheinland AG;https://www.youtube.com/user/tuvrheinlandag
Donau-Universität Krems;https://www.youtube.com/user/danubeuniversity
Studienkreis GmbH;https://www.youtube.com/user/studienkreisyt
Wichtel Akademie München GmbH;https://www.youtube.com/channel/UCPbPK8AJOHcLwkB6_g1sBAg
Universität Stuttgart;https://www.youtube.com/user/UniStuttgartTV
Rudolf Presl GmbH & Co. Klinik Bavaria Rehabilitations KG;https://www.youtube.com/user/KlinikBavaria#p/a/u/0/6IP_a2yDC5s
Evangelische Hochschule Rheinland-Westfalen-Lippe;https://www.youtube.com/channel/UCf9kEBA-oVEPtA3jGGH9HEg
Evangelische Schulsiftung;https://www.youtube.com/channel/UCluzCeBFMAfJ_A68JTC4PcA
Freie Universität Berlin;https://www.youtube.com/channel/UChGMnECSItBUYZH1YIXLj-w
IUBH Internationale Hochschule GmbH;https://www.youtube.com/user/IUBHFernstudium/
Justus-Liebig-Universität Giessen;https://www.youtube.com/channel/UCh0pXgxS8S08PiC872DGUcg
VNG AG;https://www.youtube.com/channel/UCy5EvVJNzF0k9ysQxWm29eQ
maxQ. im bfw – Unternehmen für Bildung;https://www.youtube.com/channel/UCZOE8eL600nUoeTjzC1MJ6g
Georg-August-Universität Göttingen;https://www.youtube.com/channel/UCzg-z2TL0Ks4Efz5o0z7AxQ
Universität Heidelberg;https://www.youtube.com/user/UniHeidelberg
Klinikum Westmünsterland GmbH;https://www.youtube.com/user/KVWML
Unternehmensgruppe Atoma-multipond;https://www.youtube.com/channel/UC0QejloLasirbZYi4iYkm1A
iba - Internationale Berufsakademie der F+U Unternehmensgruppe gGmbH;https://www.youtube.com/ibaDual
KiTA-Zentrum St.Simpert;https://www.youtube.com/user/BistumAugsburg/featured
Denk mit! Kinderbetreuungseinrichtungen GmbH & Co. KG;https://www.youtube.com/channel/UC22y4uxcX4rPsKpKy8wrzyg
Technische Hochschule Ostwestfalen-Lippe;https://www.youtube.com/technischehochschuleowl
Technische Universität München Referat 46 Gebäudemanagement;https://www.youtube.com/user/TUMuenchen1
Hochschule Düsseldorf;https://www.youtube.com/hsduesseldorfhsd
Hochschule Schmalkalden;https://www.youtube.com/user/FhSchmalkalden
Universität Trier;https://www.youtube.com/user/UniTrier
Wbs Gruppe;https://www.youtube.com/channel/UC_m4e_GywgaCJBO4_-Uud8A
Hochschule für Wirtschaft, Technik und Kultur (HWTK);https://www.youtube.com/channel/UC_63LDwN3MFzYLS6sbStkZQ
Hochschule für angewandte Wissenschaften München;https://www.youtube.com/user/HochschuleMuenchen1
Universität Greifswald;https://www.youtube.com/user/UniGreifswald
Technische Universität Hamburg;https://www.youtube.com/user/TUHamb
Kunsthochschule für Medien Köln;https://www.youtube.com/user/KHMKoeln
Hochschule Rhein-Waal;https://www.youtube.com/user/HSRheinWaal
SRH Berufliches Trainingszentrum Rhein-Neckar gGmbH;https://www.youtube.com/channel/UC-e9qyxgmoWHssSjMZBypqA
RWTH Aachen University;https://www.youtube.com/user/RWTHAachenUniversity
Universitätsmedizin Tübingen;https://www.youtube.com/channel/UCS_4R0wdfVZNMfY0g8kjwWg
Technische Universität Darmstadt;https://www.youtube.com/channel/UCGaNnlFr7qtiOLvZ293qvWg
Justizvollzugsschule des Landes Schleswig-Holstein;https://www.youtube.com/user/schleswigholstein
Universität Heidelberg;https://www.youtube.com/user/UniHeidelberg
Hertie School of Governance;https://www.youtube.com/user/hertieschoolberlin/
Technische Hochschule Aschaffenburg;https://www.youtube.com/channel/UCbVZXfJxAUZ-uNjviunzUgg
Wolter - Hoppenburg;https://www.youtube.com/channel/UCg4vYYBBX0E3k5K9HFCWkkg
Rhön-Klinikum Campus Bad Neustadt;https://www.youtube.com/c/RH%C3%96NKLINIKUMAG
FOM Hochschule für Berufstätige, Ökonomie & Management gemeinnützige GmbH;https://www.youtube.com/user/FOMChannel
IUBH Internationale Hochschule GmbH;https://www.youtube.com/channel/UCdXALnF1VLvlZykTnTKmWJw
